Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
45,Onuralp Bitim,SG,24,CHI,23,268,5,0.464,0.524,0.06,2.5,11.1,6.7,6.5,0.6,0.8,10.4,15.8,,-0.3,0.1,-0.1,-0.027,,-5.4,-2,-7.4,-0.4
46,Bismack Biyombo,C,31,TOT,40,791,9.9,0.562,0,0.412,8.3,21.1,14.5,9.5,0.7,4.4,21.3,10.7,,0.1,1,1.1,0.066,,-4.8,1.4,-3.4,-0.3
46,Bismack Biyombo,C,31,MEM,30,718,10,0.56,0,0.387,8.3,21.3,14.5,10.1,0.7,4.4,21.4,10.6,,0.1,0.9,1,0.066,,-4.8,1.6,-3.2,-0.2
46,Bismack Biyombo,C,31,OKC,10,73,8.9,0.58,0,0.667,7.9,19.1,13.7,3.3,0.7,3.8,20.5,11.6,,0,0.1,0.1,0.066,,-5.4,0.2,-5.2,-0.1
47,Anthony Black,PG,20,ORL,69,1164,8.4,0.56,0.381,0.324,3.3,10.8,7,10.6,1.5,1.7,16.6,12.7,,0.1,1.5,1.6,0.067,,-3.8,0.8,-3,-0.3
48,Leaky Black,SF,24,CHO,26,284,11.5,0.589,0.385,0.288,3.5,15.9,9.5,11.4,1.4,3.6,9.3,10.1,,0.3,0.2,0.5,0.084,,-2.6,0.3,-2.4,0
49,Buddy Boeheim,SF,24,DET,10,84,9.1,0.509,0.862,0.345,3.9,9.5,6.6,4.8,0,1,0,17,,0.1,0,0.1,0.047,,-0.7,-2.8,-3.5,0
50,Bogdan Bogdanovi_,SG,31,ATL,79,2401,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1,8.7,22.3,,2.8,1.2,3.9,0.079,,0.9,-0.7,0.2,1.4
51,Bojan Bogdanovi_,SF-PF,34,TOT,57,1478,12.6,0.581,0.49,0.219,1.6,10,5.7,10.3,1,0.3,11.9,24.6,,0.3,0.7,1.1,0.034,,-0.7,-2.5,-3.2,-0.4
51,Bojan Bogdanovi_,PF,34,DET,28,921,14.1,0.6,0.487,0.245,1.5,10,5.7,12.2,1.2,0.4,11.8,24.7,,0.5,0.3,0.8,0.042,,0.3,-2.5,-2.1,0
51,Bojan Bogdanovi_,SF,34,NYK,29,557,10.1,0.549,0.496,0.176,1.8,9.9,5.8,7.1,0.6,0.2,12.1,24.3,,-0.2,0.4,0.2,0.021,,-2.4,-2.5,-4.9,-0.4
52,Bol Bol,PF,24,PHO,43,469,18.7,0.7,0.344,0.126,8.1,24.1,16.5,5.3,1,4.7,10.7,16.5,,1,0.7,1.6,0.168,,1.4,0.8,2.1,0.5
53,Marques Bolden,C,25,TOT,11,121,16,0.691,0.04,0.16,9,22.8,15.8,4.8,1.2,5.4,10.1,10.9,,0.2,0.1,0.3,0.134,,-2.1,-0.5,-2.7,0
53,Marques Bolden,C,25,MIL,2,3,3,,,,0,71.5,36.5,0,0,0,,0,,0,0,0,0.102,,-7.8,2.3,-5.5,0
53,Marques Bolden,C,25,CHO,9,118,16.4,0.691,0.04,0.16,9.2,21.6,15.2,4.9,1.3,5.5,10.1,11.1,,0.2,0.1,0.3,0.135,,-2,-0.6,-2.6,0
54,Devin Booker,PG,27,PHO,68,2447,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1,10.6,29.8,,7.2,2,9.2,0.181,,4,-1,3,3.1
55,Brandon Boston Jr.,SF,22,LAC,32,345,8.7,0.476,0.323,0.205,6.4,10.4,8.5,5.4,1.6,2.1,12,25.4,,-0.6,0.3,-0.3,-0.04,,-6.2,-2.7,-9,-0.6
56,Chris Boucher,PF,31,TOR,50,705,16,0.625,0.433,0.424,9.5,23.1,16.1,4.5,1,3,9.8,17.3,,1.2,0.6,1.7,0.119,,-0.3,-1.4,-1.7,0.1
57,James Bouknight,SG,23,CHO,14,81,15.9,0.597,0.732,0.049,1.3,11.4,6.2,12.2,0.6,1.2,4.6,23.9,,0.1,0,0.1,0.062,,4.4,-2.2,2.2,0.1
58,Jamaree Bouyea,PG,24,TOT,9,95,1.5,0.375,0.321,0,3.4,19.2,11,15.9,0.5,0,24.3,16.5,,-0.3,0.1,-0.3,-0.129,,-10.2,-2,-12.3,-0.2
